objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
226,42101023800,130,1978,2025,866685.51,151684.73,24713.02,123605.96,1166689.22,8974.53
227,42101023900,9,2016,2025,77255.09,3696.32,2023.23,6147.4,89122.04,9902.45
228,42101024000,118,1988,2025,746765.88,179575.82,25041.96,111359.66,1062743.32,9006.3
229,42101024100,35,1997,2025,183575.61,54723.4,8121.24,41721.09,288141.34,8232.61
230,42101024200,239,1978,2025,1208178.76,352327.05,42905.87,298667.76,1902079.44,7958.49
231,42101024300,157,1987,2025,723014.19,211595.2,26292.67,163792.15,1124694.21,7163.66
232,42101024400,256,1978,2025,1256879.07,303287.97,44488.62,274876.83,1879532.49,7341.92
233,42101024500,429,1978,2025,1766844.22,804545.86,86023.15,540399.31,3198526.55,7455.77
234,42101024600,191,1978,2025,1321510.96,386254.54,54237.22,271641.93,2033644.65,10647.35
235,42101024700,395,1978,2025,1652792.75,923140,81118.22,572739.3,3229790.27,8176.68
236,42101024800,148,1993,2025,604258.14,147447.99,20573.14,156901.24,929180.51,6278.25
237,42101024900,252,1986,2025,1167334.81,378430.09,46010.36,255370.66,1847145.92,7329.94
238,42101025200,367,1990,2025,1858720.47,400131.37,62626.65,333842.14,2655320.63,7235.21
239,42101025300,283,1979,2025,1476704.03,288868.41,45997.5,255147.55,2066717.49,7302.89
240,42101025400,138,1997,2025,932343.08,156519.7,30164.93,107773.99,1226801.7,8889.87
241,42101025500,88,1978,2025,843254.59,47561.65,17268.61,77689.45,985774.3,11201.98
242,42101025600,30,1998,2025,308765.69,54230.37,8124.75,26323.44,397444.25,13248.14
243,42101025700,39,2008,2025,275238.42,55211.66,10068.23,28282.41,368800.72,9456.43
244,42101025800,44,2009,2025,321198.44,22282.43,6068.75,25959.95,375509.57,8534.31
245,42101025900,186,1994,2025,1236278.26,81322.68,23487.41,132062.53,1473150.88,7920.17
246,42101026000,112,2000,2025,620670.97,56126.48,20427.47,79110.93,776335.85,6931.57
247,42101026100,100,1978,2025,752902.25,78440.93,15103.22,77949.27,924395.67,9243.96
248,42101026200,132,1995,2025,827394,70382.91,14566.93,89430.56,1001774.4,7589.2
249,42101026301,163,1999,2025,903306.74,85642.13,15846.37,106393.38,1111188.62,6817.11
250,42101026302,250,1996,2025,1489341.98,151880.29,38423.33,191451,1871096.6,7484.39
251,42101026400,249,1997,2025,1441814.56,128911.83,27989.78,179989.51,1778705.68,7143.4
