"SERVICE REQUEST TYPE","SERVICE REQUEST NUMBER","DATE SERVICE REQUEST WAS RECEIVED","LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).","IS THE BUILDING DANGEROUS OR HAZARDOUS?","IS BUILDING OPEN OR BOARDED?","IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?","IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?","IS THE BUILDING VACANT DUE TO FIRE?","ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)","ADDRESS STREET NUMBER","ADDRESS STREET DIRECTION","ADDRESS STREET NAME","ADDRESS STREET SUFFIX","ZIP CODE","X COORDINATE","Y COORDINATE","Ward","Police District","Community Area","LATITUDE","LONGITUDE","Location"
"Vacant/Abandoned Building","10-00319768","03/12/2010","Front",,"Open","FRONT AND REAR","Vacant","false","true","6635","S","MAPLEWOOD","AVE","60629","1160516.11542296","1860569.48211183","15","8","66","41.77309699799","-87.68714181244","(41.773096997993, -87.687141812439)"
"Vacant/Abandoned Building","10-00318647","03/11/2010","Front",,"Open","V ACANT LOT","Vacant","false","true","9122","S","LOWE","AVE","60620","1173572.41788745","1844386.79669556","21","22","73","41.72841049604","-87.6397588745","(41.728410496039, -87.639758874502)"
"Vacant/Abandoned Building","10-00318519","03/11/2010","Rear",,"Boarded","REAR DOOR -","Occupied","false","true","434","W","118TH","ST","60628","1175403.41390021","1826658.8656057","34","5","53","41.67972180175","-87.63357925799","(41.679721801749, -87.633579257994)"
"Vacant/Abandoned Building","10-00318071","03/11/2010","Garage",,"Open","GARAGE","Vacant","true","true","6215","S","SACRAMENTO","AVE","60629","1157449.74003147","1863276.56522892","15","8","66","41.7805883047","-87.69830919337","(41.780588304701, -87.698309193367)"
"Vacant/Abandoned Building","10-00318348","03/11/2010","Front",,"Open","GARAGE DOOR HAS OPENING","Vacant","false","false","12743","S","SANGAMON","ST","60643","1172320.65998658","1820279.78998499","34","5","53","41.66228470097","-87.64504998623","(41.662284700971, -87.645049986232)"
"Vacant/Abandoned Building","10-00318610","03/11/2010","Front",,"Open","ALL DOORS/WINDOWS UNSECURED","Vacant","false","true","9121","S","DOBSON","AVE","60619","1184809.98357669","1844714.94701453","8","4","47","41.72905512915","-87.59858344934","(41.729055129146, -87.598583449344)"
"Vacant/Abandoned Building","10-00316756","03/11/2010","Front",,"Boarded",,"Vacant","false","false","7522","S","ESSEX","AVE","60649","1194169.96001551","1855568.9101882","7","4","43","41.75861494582","-87.5639406605","(41.758614945822, -87.563940660495)"
"Vacant/Abandoned Building","10-00318504","03/11/2010","Front",,"Boarded","SIDE WINDOW","Occupied","false","true","432","W","118TH","ST","60628","1175413.11390021","1826659.0656057","34","5","53","41.67972213439","-87.63354374587","(41.67972213439, -87.63354374587)"
"Vacant/Abandoned Building","10-00317935","03/11/2010","Front",,"Open","ALL AROUND","Vacant","false","false","7741","S","CRANDON","AVE","60649","1192877.44498778","1854086.5653279","7","4","43","41.75457889657","-87.56872582582","(41.754578896572, -87.568725825822)"
"Vacant/Abandoned Building","10-00317039","03/11/2010","Front",,"Open","SIDE AND FRONT DOOR","Vacant","false","true","217","W","107TH","ST","60628","1176725.58390416","1833989.60026847","34","5","49","41.69980886131","-87.62851999792","(41.699808861306, -87.62851999792)"
"Vacant/Abandoned Building","10-00313408","03/11/2010","Front",,"Open","FRONT AND REAR DOORS","Vacant","false","false","5420","S","KENNETH","AVE","60632","1147616.83737991","1868302.23998832","23","8","62","41.79457316909","-87.73423046442","(41.794573169089, -87.734230464417)"
"Vacant/Abandoned Building","10-00315077","03/11/2010","Front",,"Open","WINDOWS, FRONT AND REAR DOORS","Vacant","false","true","5211","S","BISHOP","ST","60609","1167549.91537149","1870187.58152919","16","9","61","41.79934231365","-87.66108191381","(41.799342313647, -87.661081913813)"
"Vacant/Abandoned Building","10-00317716","03/11/2010",,,,,,,,"5610","S","ABERDEEN","ST","60621","1169939.13952816","1867602.94860446","16","7","68","41.79219818236","-87.65239512135","(41.792198182365, -87.652395121353)"
"Vacant/Abandoned Building","10-00318565","03/11/2010","Front",,"Open","FRONT  AND REAR WINDOW","Vacant","false","false","8035","S","WINCHESTER","AVE","60620","1164755.1345172","1851375.99121271","18","6","71","41.74778031994","-87.67186169906","(41.747780319938, -87.671861699063)"
"Vacant/Abandoned Building","10-00318344","03/11/2010","Front",,"Open","ALL ENTRIES OPEN NOT BOARDED","Vacant","false","false","6119","S","BISHOP","ST","60636","1167714.15150979","1864164.8913085","16","7","67","41.78281180909","-87.66065243445","(41.782811809095, -87.660652434455)"
"Vacant/Abandoned Building","10-00315737","03/11/2010","Front",,"Open","SIDE DOOR. HAS BEEN KICKED IN..","Vacant","false","true","3719","W","66TH","ST","60629","1152714.79188094","1860586.1927803","13","8","65","41.77330014727","-87.71573938347","(41.773300147269, -87.715739383465)"
"Vacant/Abandoned Building","10-00318608","03/11/2010","Front",,"Open","REAR DOOR & WINDOWS","Vacant","false","true","8532","S","SAGINAW","AVE","60617","1195310.47656607","1848912.46637928","7","4","46","41.74032107841","-87.55998010443","(41.740321078406, -87.559980104434)"
"Vacant/Abandoned Building","10-00317687","03/11/2010",,,,,,,,"7747","S","EBERHART","AVE","60619","1180916.25592655","1853750.89852443","6","6","69","41.75394113865","-87.61256975238","(41.753941138654, -87.612569752376)"
"Vacant/Abandoned Building","10-00318549","03/11/2010","Rear",,"Boarded","REAR","Vacant","false","true","438","W","118TH","ST","60628","1175384.01390021","1826658.4656057","34","5","53","41.67972113643","-87.63365028224","(41.679721136433, -87.633650282241)"
"Vacant/Abandoned Building","10-00318051","03/11/2010","Front",,"Open","FRONT VERY LARGE BUILDING STORES ON BOTTOM AND APARTMENTS ON TOP","Vacant","false","true","8028","S","ASHLAND","AVE","60620","1167069.48318232","1851479.31087947","21","6","71","41.74801470801","-87.66337824023","(41.748014708015, -87.66337824023)"
"Vacant/Abandoned Building","10-00314136","03/11/2010","Front",,"Open","FRONT AND BACK DOOR","Vacant","false","true","8960","S","CORNELL","AVE","60617","1188801.10442004","1845901.98900726","8","4","48","41.73221807563","-87.58392534361","(41.732218075629, -87.583925343614)"
"Vacant/Abandoned Building","10-00317714","03/11/2010",,,,,,,,"8223","S","EMERALD","AVE","60620","1172734.37831557","1850350.69757916","21","6","71","41.74479473341","-87.64265345339","(41.744794733408, -87.642653453388)"
"Vacant/Abandoned Building","10-00319241","03/11/2010","Front",,"Open","FRONT","Vacant","false","false","6622","S","CHAMPLAIN","AVE","60637","1181705.74553164","1861246.77838532","20","3","42","41.77449241126","-87.60944539273","(41.77449241126, -87.609445392733)"
"Vacant/Abandoned Building","10-00318587","03/11/2010","Front",,"Open","FRONT","Vacant","false","true","1214","W","98TH","ST","60643","1169939.00003165","1839784.09292009","21","22","73","41.71585956508","-87.65320203721","(41.715859565077, -87.653202037207)"
"Vacant/Abandoned Building","10-00318250","03/11/2010","Front",,"Open","FRONT AND BACK","Vacant","false","true","8630","S","SANGAMON","ST","60620","1171491.4591919","1847485.7999919","21","6","71","41.7369603526","-87.64729136083","(41.736960352601, -87.647291360828)"
"Vacant/Abandoned Building","10-00315325","03/11/2010","Front",,"Open",,"Vacant","false","false","7909","S","ESSEX","AVE","60617","1194230.11139211","1853013.62011668","7","4","46","41.75160155484","-87.56380398021","(41.751601554843, -87.563803980205)"
"Vacant/Abandoned Building","10-00311451","03/10/2010","Front",,"Open","REAR WIDE OPEN AND DOORS AND WINDOWS NOW GONE","Vacant","false","true","7623","S","MORGAN","ST","60620","1170964.93148341","1854276.83628142","17","6","71","41.75560736694","-87.64902252909","(41.755607366939, -87.649022529087)"
"Vacant/Abandoned Building","10-00309949","03/10/2010","Front",,"Open","ALL AROUND","Vacant","false","true","10615","S","WABASH","AVE","60628","1178455.32958411","1834570.19183225","9","5","49","41.70136306655","-87.62216887258","(41.701363066546, -87.622168872582)"
"Vacant/Abandoned Building","10-00307810","03/10/2010","Front",,"Open","FRONT DOOR,REAR DOORS AND WINDOWS MISSING","Vacant","true","true","59","E","103RD","PL","60628","1178612.60448192","1836366.34121884","9","5","49","41.70628838329","-87.62153862735","(41.706288383293, -87.621538627353)"
"Vacant/Abandoned Building","10-00311624","03/10/2010","Front",,"Open","SIDE","Vacant","false","false","124","W","105TH","ST","60628","1177206.62003441","1835330.27000955","34","5","49","41.7034770337","-87.62671837609","(41.703477033697, -87.62671837609)"
"Vacant/Abandoned Building","10-00306027","03/10/2010","Front",,"Open","HAVER A LADDER AND ARE CRAWLING INTO THE WINDOW OFF THE GANGWAY","Vacant","true","true","5631","S","BISHOP","ST","60636","1167625.42023259","1867399.16426981","16","7","67","41.79168894979","-87.66088500897","(41.791688949786, -87.66088500897)"
"Vacant/Abandoned Building","10-00310583","03/10/2010","Front",,"Open",,"Vacant","true","true","900","N","LAVERGNE","AVE","60651","1142859.85887933","1905519.88828273","37","15","25","41.89679326906","-87.75074867503","(41.896793269061, -87.750748675035)"
"Vacant/Abandoned Building","10-00309718","03/10/2010","Front",,"Boarded","SECURED","Vacant","false","false","7951","S","PAULINA","ST","60620","1166393.70870398","1851973.84072373","21","6","71","41.74938618037","-87.66584044419","(41.749386180366, -87.665840444186)"
"Vacant/Abandoned Building","10-00310203","03/10/2010","Front",,"Open","WINDOWS AND DOORS","Vacant","false","true","6000","S","RACINE","AVE","60636","1169347.08077109","1864998.45721151","16","7","67","41.78506400193","-87.65464149454","(41.785064001926, -87.654641494536)"
"Vacant/Abandoned Building","10-00306907","03/10/2010","Front",,"Boarded",,"Vacant","false","false","6543","S","RICHMOND","ST","60629","1157840.35169501","1861105.73767612","15","8","66","41.7746233137","-87.69693602702","(41.774623313696, -87.696936027025)"
"Vacant/Abandoned Building","10-00307159","03/10/2010","Front",,"Boarded",,"Vacant","false","false","6634","S","RICHMOND","ST","60629","1157856.08362481","1860501.77940991","15","8","66","41.77296564387","-87.69689474039","(41.772965643869, -87.696894740392)"
"Vacant/Abandoned Building","10-00311436","03/10/2010","Rear",,"Open","IN THE REAR OF THE BUILDING","Vacant","false","true","7626","S","HALSTED","ST","60620","1172288.6178306","1854288.96571814","17","6","71","41.7556116567","-87.64417119544","(41.755611656703, -87.644171195441)"
"Vacant/Abandoned Building","10-00307577","03/10/2010","Rear",,"Open","REAR","Vacant","true","true","6810","S","WOOD","ST","60636","1165522.27420936","1859526.49708162","17","7","67","41.77013022349","-87.66881995026","(41.770130223488, -87.668819950255)"
"Vacant/Abandoned Building","10-00299644","03/09/2010","Front",,"Open",,"Vacant","true","false","8951","S","PARNELL","AVE","60620","1174202.45586823","1845584.02508013","21","22","71","41.73168189824","-87.63741546286","(41.731681898236, -87.637415462861)"
"Vacant/Abandoned Building","10-00297768","03/09/2010","Rear",,"Open","REAR","Vacant","false","false","6002","S","WOOD","ST","60636","1165377.54768781","1864883.06947553","15","7","67","41.78483242353","-87.66919881849","(41.784832423528, -87.669198818487)"
"Vacant/Abandoned Building","10-00304663","03/09/2010","Rear",,"Open","BACK DOOR SIDE DOOR WINDOWS","Vacant","false","true","5525","S","DAMEN","AVE","60636","1163970.12982124","1867916.65652052","15","7","67","41.79318668893","-87.67427376074","(41.793186688926, -87.674273760742)"
"Vacant/Abandoned Building","10-00297757","03/09/2010","Front",,"Open","FRONT AND REAR","Vacant","false","false","1040","W","61ST","ST","60621","1170319.16178977","1864361.43516848","16","7","68","41.78329482797","-87.65109595892","(41.783294827974, -87.651095958918)"
"Vacant/Abandoned Building","10-00298807","03/09/2010","Garage",,"Open",,"Vacant","false","false","8717","S","NORMAL","AVE","60620","1174493.27970236","1847029.45663008","21","22","71","41.73564189649","-87.63630718116","(41.735641896487, -87.63630718116)"
"Vacant/Abandoned Building","10-00303625","03/09/2010","Front",,"Open","ALL AROUND","Vacant","false","false","132","W","118TH","ST","60628","1177370.27579803","1826704.87020295","34","5","53","41.67980398432","-87.62637832257","(41.679803984321, -87.626378322569)"
"Vacant/Abandoned Building","10-00304325","03/09/2010","Front",,"Open","FRONT","Vacant","false","false","11404","S","CHURCH","ST","60643","1165999.72189349","1829240.37498032","19","22","75","41.68701034097","-87.66792801688","(41.687010340967, -87.667928016882)"
"Vacant/Abandoned Building","10-00300339","03/09/2010","Front",,"Open","FRONT","Vacant","false","false","12500","S","EGGLESTON","AVE","60628","1175567.3652159","1822024.72757174","9","5","53","41.66700133215","-87.63311696642","(41.667001332151, -87.633116966417)"
"Vacant/Abandoned Building","10-00298752","03/09/2010","Rear",,"Open","REAR","Vacant","false","false","7236","S","ARTESIAN","AVE","60629","1161294.76168726","1856601.12931588","18","8","66","41.76219117913","-87.68439722568","(41.76219117913, -87.684397225683)"
"Vacant/Abandoned Building","10-00300534","03/09/2010","Front",,"Open",,"Vacant","false","false","7220","S","LOWE","AVE","60621","1173395.13667738","1857020.92889399","17","7","68","41.763084103","-87.64003539672","(41.763084103004, -87.640035396723)"
"Vacant/Abandoned Building","10-00300235","03/09/2010","Rear",,"Open","PEOPLE WHO LIVE NEX TO 3520 THROW GARBAGE ON 3524  W 64 TH PL BACK YARD ,,,
,,,
,,,
","Vacant","true","false","3524","W","64TH","PL","60629","1154025.71730369","1861617.72443355","15","8","66",,,
"Vacant/Abandoned Building","10-00302734","03/09/2010","Front",,"Open","FRONT DOOR","Vacant","false","false","7739","S","ST LOUIS","AVE","60652","1154392.9501776","1852953.00998015","18","8","70","41.752320244","-87.70979041886","(41.752320243996, -87.709790418862)"
"Vacant/Abandoned Building","10-00291462","03/08/2010","Front",,"Open","FRONT DOOR","Vacant","false","false","6906","S","LOWE","AVE","60621","1173158.29001133","1859097.39102809","6","7","68","41.76878739882","-87.64084220786","(41.768787398819, -87.640842207858)"
"Vacant/Abandoned Building","10-00295232","03/08/2010","Front",,"Open","FRONT AND REAR","Vacant","false","true","5303","S","CARPENTER","ST","60609","1170214.31509009","1869648.37622515","16","9","61","41.79780507909","-87.6513265942","(41.797805079094, -87.651326594196)"
"Vacant/Abandoned Building","10-00291850","03/08/2010","Front",,"Open","FRONT DOOR","Vacant","false","false","1343","W","59TH","ST","60636","1168282.41202644","1865633.40786966","16","7","67","41.7868293778","-87.65852676176","(41.786829377803, -87.658526761757)"
"Vacant/Abandoned Building","10-00292580","03/08/2010","Rear",,"Open",,"Vacant","false","false","12246","S","UNION","AVE","60628","1173865.81142125","1823662.97318622","34","5","53","41.6715347183","-87.63929587966","(41.671534718302, -87.639295879659)"
"Vacant/Abandoned Building","10-00291575","03/08/2010","Front",,"Open","FRONT 1ST FLOOR","Vacant","false","false","7014","S","WINCHESTER","AVE","60636","1164567.12231894","1858152.69287766","17","7","67","41.76638051494","-87.67235984897","(41.766380514942, -87.672359848972)"
"Vacant/Abandoned Building","10-00292068","03/08/2010","Front",,"Open","FRTONT","Vacant","false","false","7020","S","WINCHESTER","AVE","60636","1164568.22231894","1858112.59287766","17","7","67","41.76627045184","-87.67235694654","(41.766270451836, -87.67235694654)"
"Vacant/Abandoned Building","10-00294126","03/08/2010","Front",,"Open","FRONT & REAR DOORS","Vacant","false","true","4437","W","FULTON","ST","60624","1146755.71002118","1901381.82999627","28","11","26","41.88536449143","-87.73654540076","(41.885364491434, -87.736545400761)"
"Vacant/Abandoned Building","10-00290043","03/07/2010","Rear",,"Open","REAR","Vacant","false","true","7821","S","LOWE","AVE","60620","1173323.07722771","1853025.98721239","17","6","71","41.7521230834","-87.64041744257","(41.752123083399, -87.640417442572)"
"Vacant/Abandoned Building","10-00289462","03/07/2010","Front",,"Boarded","FRONT","Vacant","false","true","8016","S","PAULINA","ST","60620","1166405.10870398","1851544.64072373","21","6","71","41.74820815186","-87.66581087142","(41.748208151861, -87.665810871423)"
"Vacant/Abandoned Building","10-00288893","03/06/2010","Front",,"Open","FRONT DOOR","Vacant","false","false","646","N","SPRINGFIELD","AVE","60624","1150273.4750856","1904033.41698007","27","11","23","41.89257286893","-87.723558222","(41.892572868925, -87.723558222005)"
"Vacant/Abandoned Building","10-00288096","03/06/2010","Front",,"Open",,"Vacant","false","false","5300","S","CARPENTER","ST","60609","1170213.81509009","1869668.47622515","16","9","61","41.7978602466","-87.65132784296","(41.7978602466, -87.651327842965)"
"Vacant/Abandoned Building","10-00288089","03/06/2010","Front",,"Open","ALL","Vacant","false","false","6839","S","JEFFERY","BLVD","60649","1190723.44772659","1860018.45996615","5","3","43","41.77090876338","-87.57642815209","(41.770908763382, -87.576428152089)"
"Vacant/Abandoned Building","10-00289056","03/06/2010","Front",,"Open","FRONT & BACK DOOR HAVE BEEN RMVD AND WINDOWS UNSECURED","Vacant","false","true","5432","S","WINCHESTER","AVE","60609","1164279.27722702","1868649.54336724","16","9","61","41.79519131245","-87.67311950615","(41.795191312452, -87.673119506145)"
"Vacant/Abandoned Building","10-00287829","03/06/2010","Front",,"Open","BASEMENT","Vacant","false","true","6124","S","CARPENTER","ST","60621","1170362.96178977","1864200.53516848","16","7","68","41.78285234573","-87.65094005536","(41.782852345734, -87.650940055355)"
"Vacant/Abandoned Building","10-00287311","03/05/2010","Front",,"Open","REAR","Vacant","false","true","6533","S","MOZART","ST","60629","1158503.21062915","1861191.07730638","15","8","66","41.77484401195","-87.69450375004","(41.77484401195, -87.694503750038)"
"Vacant/Abandoned Building","10-00285284","03/05/2010","Front",,"Open","BACK DOOR","Vacant","false","false","6105","S","MAPLEWOOD","AVE","60629","1160418.12672979","1864090.84580401","15","8","66","41.7827621331","-87.68740405715","(41.782762133102, -87.687404057153)"
"Vacant/Abandoned Building","10-00284217","03/05/2010","Front",,"Open",,"Vacant","false","false","8358","S","BALTIMORE","AVE","60617","1196936.01102326","1850122.04126866","10","4","46","41.74360000579","-87.55398432653","(41.74360000579, -87.553984326529)"
"Vacant/Abandoned Building","10-00283744","03/05/2010","Rear",,"Open",,"Vacant","false","false","6615","S","WINCHESTER","AVE","60636","1164495.62448735","1860794.42302715","15","7","67","41.7736312885","-87.67254752283","(41.773631288502, -87.672547522833)"
"Vacant/Abandoned Building","10-00284135","03/05/2010","Front",,"Open","FRONT & REAR","Vacant","false","true","6806","S","MARSHFIELD","AVE","60636","1166515.29013354","1859576.09430506","17","7","67","41.77024521336","-87.66517854803","(41.770245213356, -87.665178548033)"
"Vacant/Abandoned Building","10-00282888","03/05/2010","Rear",,"Open","REAR AND BROKEN WINDOWS","Vacant","false","true","7809","S","LOWE","AVE","60620","1173320.77722771","1853105.88721239","17","6","71","41.7523423899","-87.64042351295","(41.7523423899, -87.640423512949)"
"Vacant/Abandoned Building","10-00285491","03/05/2010","Front",,"Open","WINDOWS","Vacant","false","true","8032","S","ASHLAND","AVE","60620","1167070.18318232","1851452.61087947","21","6","71","41.74794142449","-87.66337643698","(41.747941424489, -87.663376436979)"
"Vacant/Abandoned Building","10-00285100","03/05/2010","Front",,"Open","FRONT AND BACK ENTRANCE","Vacant","false","true","7819","S","ABERDEEN","ST","60620","1170339.16553075","1852959.03511181","17","6","71","41.75200478308","-87.65135408828","(41.752004783076, -87.651354088282)"
"Vacant/Abandoned Building","10-00286247","03/05/2010","Front",,"Open","FRONT- THE HOUSE IS IN FORCELOSURE YET OWNER IS STILL PUSHING DRUGS OUT OF HERE","Occupied","false","true","7843","S","KARLOV","AVE","60652","1150481.99668918","1852074.36492849","13","8","70","41.74998597733","-87.72414535882","(41.749985977335, -87.724145358819)"
"Vacant/Abandoned Building","10-00287221","03/05/2010","Front",,"Open","REAR","Vacant","false","true","7658","S","ESSEX","AVE","60649","1194191.46770487","1854668.03200882","7","4","43","41.75614233913","-87.56389136787","(41.756142339134, -87.563891367865)"
"Vacant/Abandoned Building","10-00287029","03/05/2010","Front",,"Open",,"Vacant","false","false","4645","W","82ND","ST","60652","1147013.94998766","1849679.39989204","13","8","70","41.74348043877","-87.73691481961","(41.743480438773, -87.736914819613)"
"Vacant/Abandoned Building","10-00278201","03/04/2010","Front",,"Open",,"Vacant","false","false","4125","W","78TH","ST","60652","1150451.60731083","1852535.14999828","13","8","70","41.75125104145","-87.72424476696","(41.751251041449, -87.72424476696)"
"Vacant/Abandoned Building","10-00278375","03/04/2010","Front",,"Open","FRONT AND REAR. .DOORS AND WINDOWS..","Vacant","false","true","5738","S","HOYNE","AVE","60636","1163341.98839756","1866584.30569409","15","7","67","41.78954373936","-87.6766144197","(41.789543739356, -87.6766144197)"
"Vacant/Abandoned Building","10-00278990","03/04/2010","Garage",,"Open",,"Vacant","true","false","6635","S","CLAREMONT","AVE","60636","1161884.10272548","1860597.89468553","15","8","66","41.77314665079","-87.68212629382","(41.773146650792, -87.68212629382)"
"Vacant/Abandoned Building","10-00278268","03/04/2010","Front",,"Open","IN THE FRONT AND REAR.  IT IS BECAUSE OF THE FIRE IT IS OPEN.","Vacant","true","true","7220","S","ABERDEEN","ST","60621","1170231.8999907","1856930.70752165","17","7","68","41.76290590108","-87.65163183692","(41.762905901077, -87.651631836916)"
"Vacant/Abandoned Building","10-00275981","03/04/2010","Front",,"Open","REAR DOOR","Vacant","false","true","8859","S","EUCLID","AVE","60617","1190722.29477513","1846615.16727528","8","4","48","41.73412898759","-87.57686435927","(41.734128987592, -87.576864359268)"
"Vacant/Abandoned Building","10-00277698","03/04/2010","Front",,"Open","GARAGE","Vacant","false","false","6338","S","CAMPBELL","AVE","60629","1160793.30083271","1862549.84028558","15","8","66","41.77852565918","-87.68607107438","(41.778525659181, -87.68607107438)"
"Vacant/Abandoned Building","10-00280352","03/04/2010","Front",,"Open","FRONT","Vacant","true","true","2811","W","63RD","ST","60629","1158676.88470215","1862746.82752269","15","8","66","41.77910967257","-87.69382467011","(41.779109672574, -87.693824670108)"
"Vacant/Abandoned Building","10-00276494","03/04/2010","Rear",,"Open","REAR","Vacant","false","false","5048","S","HERMITAGE","AVE","60609","1165532.72297286","1871222.2336255","16","9","61","41.80222457435","-87.6684501229","(41.802224574353, -87.668450122898)"
"Vacant/Abandoned Building","10-00280951","03/04/2010","Rear",,"Open","GARAGE","Vacant","false","false","6213","S","CAMPBELL","AVE","60629","1160770.38726875","1863382.40212511","15","8","66","41.78081079747","-87.68613210519","(41.780810797466, -87.686132105192)"
"Vacant/Abandoned Building","10-00280141","03/04/2010","Garage",,"Open","GARAGE","Vacant","false","true","9049","S","EMERALD","AVE","60620","1172901.67999606","1844685.070028","21","22","71","41.72924380383","-87.64220714812","(41.729243803828, -87.642207148119)"
"Vacant/Abandoned Building","10-00277704","03/04/2010","Front",,"Open","VACANT","Vacant","false","false","6340","S","CAMPBELL","AVE","60629","1160793.70083271","1862536.44028558","15","8","66","41.77848887946","-87.68606997771","(41.778488879455, -87.686069977709)"
"Vacant/Abandoned Building","10-00280306","03/04/2010","Front",,"Open","FRONT DOORS","Vacant","false","true","6336","S","SEELEY","AVE","60636","1163784.59099619","1862616.90419514","15","7","67","41.77864738356","-87.67510289081","(41.778647383556, -87.675102890806)"
"Vacant/Abandoned Building","10-00279024","03/04/2010","Garage",,"Open","GARAGE OPEN  LOT TRASH","Vacant","true","true","6234","S","ROCKWELL","ST","60629","1160110.40902833","1863222.23278936","15","8","66","41.78038487606","-87.68855613026","(41.780384876056, -87.688556130264)"
"Vacant/Abandoned Building","10-00277672","03/04/2010","Front",,"Open",,"Vacant","false","false","5411","S","WOOD","ST","60609","1165269.16571322","1868774.51641046","16","9","61","41.79551333457","-87.66948602489","(41.795513334568, -87.669486024886)"
"Vacant/Abandoned Building","10-00279173","03/04/2010","Front",,"Open","WINDOWS","Vacant","true","true","6522","S","ROCKWELL","ST","60629","1160161.8402918","1861303.45341935","15","8","66","41.7751184171","-87.68842032917","(41.775118417097, -87.68842032917)"
"Vacant/Abandoned Building","10-00269675","03/03/2010","Rear",,"Open","REAR","Vacant","false","false","207","N","PARKSIDE","AVE","60644","1138559.59769365","1900943.38941502","29","15","25","41.88431382107","-87.76665407586","(41.884313821069, -87.766654075861)"
"Vacant/Abandoned Building","10-00273898","03/03/2010","Front",,"Open","FRONT DOOR AND REAR IT IS DIRECTLY NEXT TO A SCHOOL AND SCHOOL LOOK OUT THE WINDOW AND SEE THE DRUG ADDICTS SHOOTING UP","Vacant","false","true","7822","S","UNION","AVE","60620","1172990.31356718","1853010.20597247","17","6","71","41.75208712539","-87.6416373356","(41.752087125385, -87.641637335597)"
"Vacant/Abandoned Building","10-00270185","03/03/2010","Front",,"Open","FRONT","Vacant","false","false","6932","S","GREEN","ST","60621","1171831.43880447","1858884.24971189","17","7","68","41.76823172557","-87.64571202381","(41.768231725573, -87.645712023807)"
"Vacant/Abandoned Building","10-00272346","03/03/2010","Front",,"Open","IN THE REAR","Vacant","false","true","4523","S","WASHTENAW","AVE","60632","1159125.01371163","1874562.27787908","12","9","58","41.81152369727","-87.69185854325","(41.811523697274, -87.691858543246)"
"Vacant/Abandoned Building","10-00270861","03/03/2010","Garage",,"Open","REAR GARAGE","Vacant","false","true","7741","S","BISHOP","ST","60620","1167901.91123404","1853407.22291884","17","6","71","41.75328733863","-87.66027268718","(41.75328733863, -87.660272687183)"
"Vacant/Abandoned Building","10-00274272","03/03/2010","Front",,"Open","FRONT & REAR","Vacant","false","true","936","N","LOCKWOOD","AVE","60651","1140852.56981112","1905728.33590936","37","15","25","41.89740244035","-87.75811608854","(41.897402440346, -87.758116088538)"
"Vacant/Abandoned Building","10-00274484","03/03/2010","Front",,"Open",,"Vacant","false","false","5523","S","KOSTNER","AVE","60629","1147970.52092439","1867619.96127176","13","8","62","41.79269411847","-87.73295096894","(41.792694118474, -87.732950968939)"
"Vacant/Abandoned Building","10-00274271","03/03/2010","Front",,"Open","FRONT & REAR","Vacant","false","true","936","N","LOCKWOOD","AVE","60651","1140852.56981112","1905728.33590936","37","15","25","41.89740244035","-87.75811608854","(41.897402440346, -87.758116088538)"
"Vacant/Abandoned Building","10-00270880","03/03/2010","Front",,"Open","REAR DOOR","Vacant","false","false","9331","S","HARPER","AVE","60619","1188077.3418948","1843411.85103113","8","4","48","41.72540213814","-87.586655887","(41.725402138139, -87.586655887002)"
"Vacant/Abandoned Building","10-00274430","03/03/2010","Front",,"Open","FRONT","Vacant","false","true","5737","S","ELIZABETH","ST","60636","1168968.59111559","1866731.59517203","16","7","67","41.78982812706","-87.65597913988","(41.78982812706, -87.65597913988)"
"Vacant/Abandoned Building","10-00271593","03/03/2010","Front",,"Open","WINDOWS- SIDE/REAR","Vacant","false","true","5146","S","HOYNE","AVE","60609","1163232.735201","1870364.6098932","16","9","61","41.79991966096","-87.6769091763","(41.799919660962, -87.676909176302)"
"Vacant/Abandoned Building","10-00268788","03/02/2010","Front",,"Open","FRONT - SIDE - REAR","Vacant","false","true","5800","S","DAMEN","AVE","60636","1164019.11852739","1866191.63698911","15","7","67","41.78845198617","-87.67414262399","(41.78845198617, -87.674142623985)"
"Vacant/Abandoned Building","10-00268554","03/02/2010","Front",,"Open","FRONT DOOR, WINDOWS, AND POSSIBLY THE REAR DOOR","Vacant","false","true","5934","S","EGGLESTON","AVE","60621","1174308.36999255","1865571.36009865","20","7","68","41.78652720532","-87.63643428769","(41.786527205321, -87.63643428769)"
"Vacant/Abandoned Building","10-00265256","03/02/2010","Rear",,"Open",,"Vacant","false","true","10557","S","STATE","ST","60628","1178120.11747015","1834942.32861951","9","5","49","41.7023918514","-87.62338506888","(41.702391851398, -87.62338506888)"
"Vacant/Abandoned Building","10-00264839","03/02/2010","Rear",,"Open",,"Vacant","false","true","6226","S","RHODES","AVE","60637","1180971.71897756","1863847.7667208","20","3","42","41.78164669833","-87.61205621134","(41.781646698334, -87.612056211343)"
"Vacant/Abandoned Building","10-00265420","03/02/2010",,,,,,,,"8006","S","MUSKEGON","AVE","60617","1196559.98298651","1852433.26092419","7","4","46","41.74995150578","-87.55528551697","(41.74995150578, -87.55528551697)"
